Building Permit Application Number,Building Address,Date Issued,Document Type,Number of Units Certified
201905231583,57-57A Peters Avenue,2021/01/11,CFC,1
201612215540,750 OFarrell Street,2021/01/12,CFC,5
201602018430,489 30th Street,2021/01/13,CFC,1
201807033696,1461 19th Avenue,2021/01/13,CFC,1
201810244018,55 Fair Avenue,2021/01/14,CFC,1
201802131174,522 Oak Street,2021/01/14,CFC,1
201612306332,2518 14th Avenue,2021/01/14,CFC,1
201406279813,323 Lombard Street,2021/01/20,CFC,1
201805240036,269 Avila Stret,2021/01/28,CFC,1
201612013928,1840A 24th Avenue,2021/01/28,CFC,1
201810032178,215A Montana nStreet,2021/01/29,CFC,1
201907155917,462 23rd Avenue,2021/01/29,CFC,1
201808147256,3475 16th Street,2021/01/29,CFC,2
201705166698,1085 Washington Street,2021/01/29,CFC,4
201310088785,34 Langton Street,2021/02/09,Initial TCO,5
201705025458,333 12th Street,2021/02/11,Amended TCO,96
201511203273,1145 Polk Street,2021/02/26,Initial TCO,54
201710110918,490 South Van Ness Ave,2021/02/01,CFC,74
201706260384,139 Lakeshore Drive,2021/02/02,CFC,1
201704043107,326 Naples Street,2021/02/04,CFC,1
201312315382,1208 Egbert Avenue,2021/02/04,CFC,1
201808278397,539-541 5th Avenue,2021/02/05,CFC,1
201703030667,1053A-1053B Tennessee Street,2021/02/08,CFC,1
201804025248,1372A Natoma Street,2021/02/09,CFC,1
201804025247,1376A Natoma Street,2021/02/09,CFC,1
201912230283,14A Ulloa Street,2021/02/11,CFC,1
201708043897,79 Cragmont Avenue,2021/02/18,CFC,1
201810092565,319 Mullen Avenue,2021/02/19,CFC,1
201607071808,348 Waller Street,2021/02/19,CFC,2
201903205814,511B Eureka Street,2021/02/22,CFC,2
202002103998,1711 Baker Street,2021/02/22,CFC,1
201903185578,710 Hayes Street,2021/02/23,CFC,1
201805038078,1324 Chestnut Street,2021/02/25,CFC,1
201901089866,2362A 42nd Avenue,2021/02/25,CFC,1
201802151439,10 Nobles Alley,2021/02/26,CFC,1
201707141936,2150 Hayes Street,2021/02/26,CFC,3
201611303815,2500 Turk Street,2021/03/05,Initial TCO,84
201611303820,2698 Turk Street,2021/03/05,Initial TCO,71
201904057203,740 Green Street,2021/03/15,Initial TCO,1
201508265383,1174 Folsom Street,2021/03/17,Initial TCO,42
201405276744,1452 Broadway,2021/03/22,Amended TCO,1
201804196818,691 China Basin,2021/03/29,Initial TCO,152
201603091627,875 California Street,2021/03/30,Amended TCO,12
201711154095,88 Broadway,2021/03/31,Initial TCO,125
201907166073,3909 Irving Street,2021/03/04,CFC,1
201803022725,36 Roach Street,2021/03/05,CFC,1
201803022729,2033 Taylor Street,2021/03/05,CFC,1
201906254362,1516 Larkin Street,2021/03/05,CFC,1
201803163941,1599 Oak Street,2021/03/08,CFC,1
201712156653,555 Golden Gate Avenue,2021/03/10,CFC,55
201908300381,81 Whittier Street,2021/03/12,CFC,1
201704204482,470 23rd Avenue,2021/03/12,CFC,1
201805017882,2350 Washington Street,2021/03/12,CFC,1
201803295045,2350 Washington Street,2021/03/12,CFC,1
201702038639,1405 15th Street,2021/03/15,CFC,1
201912179713,1746 Revere Avenue,2021/03/15,CFC,1
201908158950,1965A Quint Street,2021/03/15,CFC,1
201705318064,2338-2340 Union Street,2021/03/16,CFC,3
201901301669,3005-3007 San Bruno Avenue,2021/03/17,CFC,1
201708043911,18-20 Navajo Avenue,2021/03/18,CFC,1
201712015280,419 Pierce Street,2021/03/19,CFC,1
201702018360,792 Capp Street,2021/03/19,CFC,4
201607202820,955 Pine Street,2021/03/23,CFC,1
201806262947,3550 22nd Street,2021/03/24,CFC,1
201810264328,740 Rhode Island,2021/03/25,CFC,2
201512044244,323-325 29th Avenue,2021/03/26,CFC,2
201706028289,2350 Union Street,2021/03/31,CFC,3
201802060511,2346 Union Street,2021/03/31,CFC,2
201805108844,748 Page Street,2021/03/31,CFC,2
201607253262,1532 Harrison Street,2021/04/28,Initial TCO,136
201608054294,2070 Folsom Street,2021/04/30,Initial TCO,127
201703292679,811 Butrnett Avenue,2021/04/01,CFC,1
201703211980,1300 Masonic Avenue,2021/04/02,CFC,1
202002073913,125-127 Valdez Avenue,2021/04/05,CFC,1
201807114327,232 Clipper Street,2021/04/06,CFC,2
201609228509,1108-1118 Lake Street,2021/04/07,CFC,1
201901100011,1723A 24th Avenue,2021/04/07,CFC,1
201611042024,3190 San Bruno Avenue,2021/04/07,CFC,3
201903084809,24 Woodland Avenue,2021/04/08,CFC,1
201708144773,161 Noe Street,2021/04/09,CFC,1
201608034060,1165 Franklin Street,2021/04/09,CFC,2
201908148817,1743 12th Avenue,2021/04/09,CFC,1
201508184576,77 Belgraqve,2021/04/12,CFC,1
202008051121,385A Athens Street,2021/04/12,CFC,1
201902263838,1470 12th Avenue,2021/04/12,CFC,1
201903296637,1470 12th Avenue,2021/04/12,CFC,1
201607152516,3701 Noriega Street,2021/04/12,CFC,12
201703091131,129 Fair Oaks Street,2021/04/13,CFC,2
201703222069,1413 15th Street,2021/04/14,CFC,1
201903195643,3935 A 18th Street,2021/04/14,CFC,1
201708023675,461 Sanchez Street,2021/04/15,CFC,1
201911126944,2136 Alemnay Street,2021/04/16,CFC,1
201709229307,30 Rausch Street,2021/04/19,CFC,1
201710020122,30 Rausch Street,2021/04/19,CFC,1
201712065684,856 Capp Street,2021/04/19,CFC,9
201802010108,159 Castro Street,2021/04/19,CFC,1
201606109695,1658A 10th Avenue,2021/04/19,CFC,1
201912068961,88A Raymond Avenue,2021/04/22,CFC,1
201503110506,500 Folsom Street,2021/04/23,CFC,11
201908148769,1424 York Street,2021/04/23,CFC,1
201610251069,2146-2150 Union Street,2021/04/23,CFC,4
201905039747,279 Sadowa Street,2021/04/26,CFC,1
201804045541,2779 Folsom Street,2021/04/26,CFC,5
201901079748,79 Farnsworth Lane,2021/04/27,CFC,1
201905080148,206-208 Monterey Boulevard,2021/04/27,CFC,1
201808167569,1391A Sutter Street,2021/04/27,CFC,1
201808167562,1391B Shafter Avenue,2021/04/27,CFC,2
201608154972,106 Leese Street,2021/04/28,CFC,1
201804277571,129 18th Avenue,2021/04/29,CFC,1
201804277640,1140 Harrison Street,2021/05/25,Initial TCO,129
201902213528,766-768 30th Avenue,2021/05/03,CFC,1
201804055587,990 Bay Street,2021/05/05,CFC,1
201807255566,2539 Lombard Street,2021/05/10,CFC,1
201703312952,290 16th Avenue,2021/05/11,CFC,1
201707111490,2166 Hayes Street,2021/05/12,CFC,3
201805118914,278-280 15th Avenue,2021/05/13,CFC,1
201603081509,501 Noriega Street,2021/05/13,CFC,1
200909237457,128 Elsie Street,2021/05/20,CFC,1
201507080931,969 Pine Street,2021/05/20,CFC,2
201805179444,1359 Hayes Street,2021/05/20,CFC,3
201404143170,2582 Filbert Street,2021/05/21,CFC,1
201906102973,3459A Mission Street,2021/05/24,CFC,2
201705267808,3848 Sacramneto Street,2021/05/24,CFC,1
201510301277,331 Pennsylvania Avenue,2021/05/25,CFC,7
201911207817,1815A 40th Avenue,2021/05/25,CFC,1
201609218371,1950 Mission Street,2021/05/25,CFC,7
201906284721,2981 21st Street,2021/05/25,CFC,1
201911268236,597 Naples Street,2021/05/26,CFC,1
201904016765,712A Delta Street,2021/05/27,CFC,1
201402198846,3324 19th Street,2021/05/27,CFC,4
201510200292,777 Silver Avenue,2021/05/28,CFC,1
201511203265,1169 Market Street,2021/06/22,Initial TCO,502
201806040916,3001 24th Street,2021/06/30,Initial TCO,45
201912199992,387 26th Avenue,2021/06/03,CFC,1
201804126165,644A Judah Street,2021/06/03,CFC,1
201801057944,650 de Haro Street,2021/06/03,CFC,1
201702240069,1760 Golden Gate Avenue,2021/06/03,CFC,2
201310048576,2855 Filbert Street,2021/06/03,CFC,1
201612296166,4221 20th Street,2021/06/04,CFC,1
201711295058,2265 Beaach Street,2021/06/07,CFC,1
201703101249,1290 12th Aveneue,2021/06/08,CFC,1
201807255568,2538 Lombard Street,2021/06/08,CFC,1
201612296244,1235 Bay Street,2021/06/11,CFC,1
201706219957,248 Page Street,2021/06/15,CFC,3
201807255550,834-836 44th Avenue,2021/06/15,CFC,1
201803143663,65 Scott Street,2021/06/18,CFC,1
201604285973,755 Dolores Street,2021/06/18,CFC,1
201711295088,1139 Munich Street,2021/06/18,CFC,1
201812316246,225 Shipley Street,2021/06/21,CFC,9
201907055180,146A Saint Charles Avenue,2021/06/22,CFC,1
201812107892,333 Fillmore Street,2021/06/22,CFC,2
201809139983,679 London Street,2021/06/22,CFC,1
202106162541,1749 Dolores Street,2021/06/22,CFC,1
201907115624,719 Fillmore Street,2021/06/23,CFC,2
201903044303,1636 Kirkwood Avenue,2021/06/23,CFC,1
201610281361,18-28 Turk Murphy Lane,2021/06/24,CFC,6
201912169602,1580 Noriega Street,2021/06/25,CFC,3
201606291212,969 Burnett Avenue,2021/06/28,CFC,1
201511233357,1380-1380A Revere Avenue,2021/06/28,CFC,2
201206203038,2410 33rd Avenue,2021/06/28,CFC,10
201910094080,829 Broderick Street,2021/06/29,CFC,1
201807255514,2930A Lawton Street,2021/06/30,CFC,1
201611283577,30 Otis Street,2021/07/19,Initial TCO,200
201804277640,1140 Harrison Street,2021/07/23,Amended TCO,242
201604013681,75 Howard Street,2021/07/30,Initial TCO,120
201704144010,2175 15th Street,2021/07/02,CFC,1
201510230698,2306 Castro Street,2021/07/02,CFC,1
201911056503,70 Terra Vista Avenue,2021/07/07,CFC,6
201909242534,1146B Guerrero Street,2021/07/08,CFC,1
201902193270,1388A Alabama Street,2021/07/08,CFC,1
201805240061,1523 Franklin Street,2021/07/08,CFC,7
201911086868,288A Athens Street,2021/07/13,CFC,1
201709148164,641 Lisbon Street,2021/07/15,CFC,1
201702179712,653 28th street,2021/07/16,CFC,1
202107013654,416 Collingeood Street,2021/07/19,CFC,2
202003167137,1986 42nd Avenue,2021/07/19,CFC,1
201906244267,2901 Taraval Street,2021/07/19,CFC,1
201712055549,653 28th Street,2021/07/19,CFC,1
201712206997,116 Whittier Street,2021/07/20,CFC,1
201607051607,566 Fell Street,2021/07/20,CFC,3
201709219183,1730 12th Avenue,2021/07/20,CFC,1
201702038561,130 Graystone terrace,2021/07/21,CFC,3
201902122762,865A Duncan Street,2021/07/21,CFC,1
201608084425,2646A 46th Avenue,2021/07/21,CFC,1
201709259446,566 Fell Street,2021/07/22,CFC,3
201904269087,1506 Innes Avenue,2021/07/22,CFC,1
201608195596,462A 34th Avenue,2021/07/28,CFC,1
201704204439,510 B 26thAvenue,2021/07/28,CFC,1
201608195596,462A 34th Avene,2021/07/28,CFC,1
201704204439,510B 25th Avenue,2021/07/29,CFC,1
201706300808,975 Bryant Street,2021/08/06,Initial TCO,185
201611283577,30 Otis Street,2021/08/06,Amended TCO,195
201707051030,1990 Folsom Street,2021/08/06,Initial TCO,103
200712281474,1101 South Van Ness,2021/08/17,Initial TCO,3
201707051030,1990 Folsom Stret,2021/08/20,Amended TCO,40
201707121715,349 8th Street,2021/08/31,Initial TCO,38
201911056428,2626 Clement Street,2021/08/02,CFC,1
201710191697,73 Vandewater Street,2021/08/03,CFC,1
201901079733,349 Fillmore Street,2021/08/03,CFC,1
201812067655,132 Apolo Street,2021/08/04,CFC,1
201807255572,329B Frederick Street,2021/08/04,CFC,1
201603293285,4064 24th Street,2021/08/04,CFC,3
201707141931,2160 Hayes Street,2021/08/05,CFC,3
201612296189,840 Shotwell Street,2021/08/06,CFC,1
201906072904,556 5th Avenue,2021/08/09,CFC,1
201809261485,1424 Valencia Street,2021/08/11,CFC,3
202006018043,1983 San Jose Avenue,2021/08/09,CFC,1
201603293393,2 Modoc Avenue,2021/08/10,CFC,1
201910174744,65 Sanchez Street,2021/08/10,CFC,1
201703292743,1447 Washinton Street,2021/08/10,CFC,1
201711295016,1837 Oak Street,2021/08/10,CFC,2
201609278929,60 Sycamore Street,2021/08/12,CFC,2
202108126340,203-205 Russia Street,2021/08/12,CFC,1
201706149389,1251 8th Avenue,2021/08/12,CFC,2
202101152836,160 Parker Avenue,2021/08/13,CFC,1
201406300106,30 Beaumont Avenue,2021/08/18,CFC,1
201902223609,413 Lyon Street,2021/08/18,CFC,1
201508073719,943 York Street,2021/08/23,CFC,1
201812208920,1250 Taylor Street,2021/08/25,CFC,2
201606240826,18 Shotwell Street,2021/08/26,CFC,3
201712085863,2363 25th Avenue,2021/08/26,CFC,1
202107204775,162A Grand View Avenue,2021/08/27,CFC,1
201810032118,2618-2620 Balboa Street,2021/08/27,CFC,1
202107204773,162 Grand View Avenue,2021/08/30,CFC,1
201602089004,950 Market Street,2021/09/03,Initial TCO,216
201612275906,827 Kearny Street,2021/09/27,Initial TCO,1
202002073897,669-669A Marina Boulevard,2021/09/01,CFC,1
201904158035,4725 Irving Street,2021/09/02,CFC,1
201612124732,754-756 10th Avenue,2021/09/03,CFC,1
201703282554,85 Columbus Square St,2021/09/07,CFC,1
201707192403,285 Grand View Avenue,2021/09/08,CFC,1
201708255917,478-480 Warren Drive,2021/09/08,CFC,9
202107194657,2008A Keith Street,2021/09/08,CFC,1
201907236673,480 Warren Drive,2021/09/09,CFC,4
201307222452,1891-1893 Oakdale Avenue,2021/09/10,CFC,2
201704053304,2025 O'Farrell Street,2021/09/10,CFC,1
201803083182,4542-4544 Cabrillo Street,2021/09/10,CFC,1
201612215583,1312-1312A Paicific Avenue,2021/09/13,CFC,1
201910295915,1893 Oakdale,2021/09/15,CFC,1
201703060745,41 Rosemont Place,2021/09/16,CFC,1
201904057298,618 Andcver Street,2021/09/17,CFC,1
201707182284,460 22nd Avenue,2021/09/20,CFC,1
201912189918,3678 16th Street,2021/09/20,CFC,1
201807265592,28 Houston Street,2021/09/22,CFC,2
201511031542,2853-2855A Folsom Street,2021/09/23,CFC,1
201611082258,1715 Alabama Street,2021/09/23,CFC,1
202003126921,457 Tehama Street,2021/09/27,CFC,1
201702118267,891 Carolina Street,2021/09/27,CFC,1
201703242277,2420 Taraval Street,2021/09/27,CFC,2
201907155927,727 Goettingen Street,2021/09/29,CFC,1
201612306305,3465 25th Street,2021/10/01,Initial TCO,6
201612285985,830 Eddy Street,2021/10/26,Initial TCO,137
201602089004,950 Market Street,2021/10/29,Amended TCO,7
201905241632,647 35th Avenue,2021/10/01,CFC,1
201801269700,1310A 44th Avenue,2021/10/01,CFC,1
202002124248,1950 Franklin Street,2021/10/01,CFC,1
201906133337,61 Florentine Avenue,2021/10/04,CFC,1
201901099954,308 Crescent Avenue,2021/10/05,CFC,1
202109077864,76 Bruce Avenue,2021/10/06,CFC,1
202108096027,1736 18th Avenue,2021/10/07,CFC,1
201607212978,651 Scott Street,2021/10/08,CFC,3
201710040413,536 Mason Street,2021/10/12,CFC,
202006058195,530-532A Judah Street,2021/10/12,CFC,2
201704254820,80 Thor Avenue,2021/10/13,CFC,1
201902052143,651 Scott Street,2021/10/14,CFC,1
201809139975,777 6th Avenue,2021/10/15,CFC,1
201505075705,813 Lyon Street,2021/10/15,CFC,2
202002255313,130-130A Hamilton Street,2021/10/18,CFC,1
202002265491,155 Caledonia Streer,2021/10/19,CFC,1
201712126220,1339 16th Avenue,2021/10/19,CFC,1
201612296221,2152 Pine Street,2021/10/19,CFC,1
202008182053,138 Shawnee Avenue,2021/10/20,CFC,1
201511041763,941-945 Treat Street,2021/10/20,CFC,3
201511041768,949-953 Treat Street,2021/10/20,CFC,3
201911258136,2120 Golden Gate Avenue,2021/10/20,CFC,2
201912139573,3910-3912 24th Street,2021/10/21,CFC,1
201609016561,909 Page Street,2021/10/26,CFC,2
201512114902,1465 Revere Avenue,2021/10/26,CFC,1
201908300379,1742A La Salle Avenue,2021/10/26,CFC,1
202010086200,645A Velasco Avenue,2021/10/28,CFC,1
202011249607,4360 19th Street,2021/10/28,CFC,1
202002144575,271 Clinton park,2021/10/29,CFC,1
201711164189,313 Lexington Street,2021/10/29,CFC,1
202110271304,947 Innes Street,2021/10/29,CFC,1
201902112589,833 Bryant Street,2021/11/01,Initial TCO,146
201602089004,950 Market Street,2021/11/12,Amended TCO,19
201806202372,1501 Sunnydale Avenue,2021/11/19,Initial TCO,167
201903276411,64A Lamartine Street,2021/11/02,CFC,1
200704279893,106 Bache Street,2021/11/03,CFC,1
201908088280,1533-1537 Pacific Avenue,2021/11/03,CFC,1
201704063386,533 Clayton Street,2021/11/04,CFC,2
201903296600,6 Arleta Avenue,2021/11/09,CFC,1
201907246824,486 Funston Avenue,2021/11/09,CFC,3
201904117780,389A Teddy Avenue,2021/11/10,CFC,1
201907176127,863A Clayton Street,2021/11/10,CFC,1
202101122510,2049A San Jose Avenue,2021/11/15,CFC,1
202111021627,12 Niantic Avenue,2021/11/15,CFC,1
201712267366,133 Baker Street,2021/11/16,CFC,2
202111051895,427 Velasco Avenue,2021/11/16,CFC,1
201311192313,429 Grrand View,2021/11/17,CFC,1
201911258143,1640 Vallejo Street,2021/11/18,CFC,2
202111102186,87 Norton Street,2021/11/19,CFC,1
202111021624,8 Niantic Avenue,2021/11/19,CFC,1
201706149370,2400 17th Avenue,2021/11/22,CFC,4
202001293057,1062 Huron Avenue,2021/11/23,CFC,1
201805179462,1235A 21st Avenue,2021/11/23,CFC,1
201903125057,182 Saint Charles Avenue,2021/11/24,CFC,1
201701066630,2810-2816 22nd Street,2021/11/29,CFC,1
201602220182,1805 Buchanan Street,2021/11/30,CFC,6
201607142409,1001 Van ness Avenue,2021/12/07,Initial TCO,208
201808066535,434 Minna Street,2021/12/14,Initial TCO,302
201910164683,816 Shotwell Street,2021/12/01,CFC,1
200412131318,191 Tioga Avenue,2021/12/02,CFC,1
201709056945,3130 Broderick Street,2021/12/02,CFC,1
201906052617,54A Edgehill Way,2021/12/03,CFC,1
201909121498,34 Steiner Street,2021/12/06,CFC,3
201911016271,2366A 29th Avenue,2021/12/06,CFC,1
201804247274,878 Rhode Island Street,2021/12/07,CFC,1
201611303816,225 11th Avenue,2021/12/08,CFC,2
201607202801,734-738A Green Street,2021/12/08,CFC,1
201607253164,740 Green Street,2021/12/08,CFC,1
201801239223,2476 Diamond Street,2021/12/08,CFC,1
201904057203,740 Green Street,2021/12/09,CFC,1
201710121124,2285 Broadway,2021/12/10,CFC,3
201707252844,456A Lisbon Street,2021/12/13,CFC,1
201802201659,1179 Hayes Street,2021/12/13,CFC,1
201709087360,1355 Lombard Street,2021/12/13,CFC,1
202002073883,42A Miramar Avenue,2021/12/15,CFC,1
201701116993,2635 Sacramento Street,2021/12/16,CFC,1
201806263029,230 7th Street,2021/12/21,CFC,40
201810254164,381A Bartlett Street,2021/12/21,CFC,1
201801188911,920-920A Rutland Street,2021/12/22,CFC,1
201612225670,1064 Dolores Street,2021/12/22,CFC,2
201901291531,468 Valley Street,2021/12/22,CFC,2
202003116830,432A 35th Avenue,2021/12/23,CFC,1
201711012851,482 Gates Street,2021/12/23,CFC,1
201911197643,1327 South Van Ness Avene,2021/12/23,CFC,1
201912109100,1164A Alabama Street,2021/12/30,CFC,1
201707172085,1028 Market Street,2022/01/12,Initial TCO,193
201703080995,635 Scott Street,2022/01/20,Initial TCO,2
201909262805,150A Josiah Avenue,2022/01/03,CFC,1
201909262808,150B Josiah Street,2022/01/03,CFC,1
201912300975,1422 11th Avenue,2022/01/05,CFC,1
201712136357,2011 Sacramneto Street,2022/01/05,CFC,2
201903145222,2775 Market Street,2022/01/05,CFC,6
201912028408,852A 26th Avenue,2022/01/06,CFC,1
202003116776,1060 Pine Street,2022/01/07,CFC,2
201711073300,645A Peralta Avenue,2022/01/10,CFC,1
201702068659,102 San Jose Avenue,2022/01/11,CFC,1
201705257671,2112 28th Avenue,2022/01/11,CFC,1
202108025614,353-355 Girard Street,2022/01/13,CFC,1
201910184947,1544 Powell Street,2022/01/14,CFC,1
201910184946,1594 Powell Street,2022/01/14,CFC,1
202011209422,1231 30th Avenue,2022/01/21,CFC,2
201907035100,1671A 47th Avenue,2022/01/21,CFC,1
201708175151,5133 Geary Boulevard,2022/01/24,CFC,2
201908067974,35 Hiliritas Avenue,2022/01/25,CFC,1
201912109097,210 Montcalm Street,2022/01/25,CFC,1
201507060676,769 Tehama Street,2022/01/25,CFC,1
201705096094,1213 Hollister Avenue,2022/01/26,CFC,1
201605278561,4971A 17th Street,2022/01/26,CFC,1
201511303659,50 Gould Street,2022/01/28,CFC,1
201706290708,858 Stanyan Street,2022/02/02,Initial TCO,3
201904238718,123 Ripley Street,2022/02/01,CFC,1
201610130226,2264 Green Street,2022/02/01,CFC,2
201904117791,2106 27th Avenue,2022/02/02,CFC,1
201805179437,86 Waller Street,2022/02/07,CFC,1
201809241148,485-487 23rd Avenue,2022/02/08,CFC,1
201703091152,1421 10th Avenue,2022/02/09,CFC,5
201612275906,827 Kearny Street,2022/02/09,CFC,1
201602178150,2432 42nd Avenue,2022/02/11,CFC,1
201707111508,2355 Scott Street,2022/02/14,CFC,3
201708256017,4709 Lincoln Way,2022/02/15,CFC,1
202002245190,24 Cross Street,2022/02/22,CFC,1
201804136287,2466-2468 Great Highway,2022/02/22,CFC,1
201706290708,858 Stanyan Street,2022/02/24,CFC,3
201912311082,372  7th Avenue,2022/02/24,CFC,1
201805159092,756-758 35th Avenue,2022/02/25,CFC,2
202008182040,1559A 9th Avenue,2022/02/28,CFC,1
202202158042,158 Alhambra Street,2022/02/28,CFC,1
202011309801,846 42nd Avenue,2022/02/28,CFC,1
201406067752,1298 Howard Street,2022/03/09,Initial TCO,129
201705015335,2 Russia Avenue,2022/03/16,Initial TCO,8
201703302785,925 Pierce Street,2022/03/01,CFC,1
201703101258,4143 24th Street,2022/03/02,CFC,1
202001071380,1406A 21st Avenue,2022/03/03,CFC,1
201912230404,2567 31st Avenue,2022/03/03,CFC,1
202101122514,10A Restani Way,2022/03/04,CFC,1
201810193673,651-651A 24TH Avenue,2022/03/04,CFC,1
202103106283,1322A Wayland Street,2022/03/04,CFC,1
201906032330,1322 Wayland Street,2022/03/04,CFC,1
201810264245,424 Cole Street,2022/03/08,CFC,2
202010307844,562 39th Avenue,2022/03/09,CFC,1
202105271146,857 Elizabeth Street,2022/03/09,CFC,1
201711164199,138 Clinton Park,2022/03/16,CFC,2
201706129098,1477 California Street,2022/03/16,CFC,1
202201075549,2125 Anza Street,2022/03/18,CFC,1
201605117147,700 Central Avenue,2022/03/22,CFC,6
202010076040,1650A Plymouth Avenue,2022/03/25,CFC,1
201801309852,31 Harriet Street,2022/03/28,CFC,3
201906193907,152A Hartford Street,2022/03/30,CFC,1
202001061285,1251A Green Street,2022/03/30,CFC,1
202107023718,201 Girard Street,2022/03/30,CFC,1
202107275219,1436 Waller Street,2022/03/31,CFC,1
201511021443,88 Arkansas Street,2002/04/01,Initial TCO,127
201311222657,1554 Market Street,2022/04/11,Initial TCO,109
200603277584,1863 Mission Street,2022/04/11,Initial TCO,37
201701268036,71 Water Street,2022/04/14,Initial TCO,3
201703312940,2240 Market Street,2022/04/19,Initial TCO,44
201808137195,201 Macalla Road,2022/04/20,Initial TCO,123
201808137195,201 Macalla Road,2022/04/29,Amended TCO,1
201907115687,355 21st Avenue,2022/04/01,CFC,2
201712217176,2263 Sacramento Street,2022/04/01,CFC,2
202104309637,155 Mayfair Drive,2022/04/04,CFC,1
202203311312,1367-1369 Natoma Street,2022/04/04,CFC,1
201907186189,2046 44th Avenue,2022/04/04,CFC,1
201803214267,519 Cortland Avenue,2022/04/06,CFC,1
202203180365,321 7th Street,2022/04/07,CFC,1
201901180801,3527 18th Street,2022/04/08,CFC,2
201902052142,329 Moscow Street,2022/04/11,CFC,1
201701247741,701 Hampshire Street,2022/04/11,CFC,2
201905241706,1830 Alemany Boulevard,2022/04/11,CFC,116
202011179083,3099 22nd Street,2022/04/11,CFC,1
201809200878,1401 Noriega Street,2022/04/14,CFC,1
201907055182,1950 Franklin Street,2022/04/14,CFC,4
201806040902,1760A Quesada Avenue,2022/04/14,CFC,1
201712186770,3310 Mission Street,2022/04/14,CFC,8
201510281089,950 Gough Street,2022/04/15,CFC,20
202102114503,2651A 20th Street,2022/04/19,CFC,1
202102196936,3449A Fillmore Street,2022/04/20,CFC,1
201609198063,1959-1961 Oakdale Avenue,2022/04/21,CFC,2
201903135112,2246 Vicente Street,2022/04/22,CFC,1
201912311037,1179B Treat Avenue,2022/04/22,CFC,1
201612296165,2530 Fillmore Street,2022/04/27,CFC,2
201801118381,4230 18th Street,2022/04/27,CFC,12
202202077466,1838A Judah Street,2022/04/28,CFC,1
201809200883,464 43rd Avenue,2022/04/28,CFC,4
201806010822,33-37 Capra Way,2022/04/29,CFC,2
201901180804,388 Beale Street,2022/05/13,Initial TCO,13
201802211832,793 South Van Ness Avenue,2022/05/26,Initial TCO,75
201606149938,1379 Kansas Street,2022/05/03,CFC,1
201902153064,331-33 27th Street,2022/05/04,CFC,1
201703302802,42 Otis Street,2022/05/04,CFC,24
201612013962,1385 Greenwich Street,2022/05/05,CFC,1
201903135091,2545 Lyon Street,2022/05/05,CFC,1
202105281286,427 Lisbon Street,2022/05/09,CFC,1
201803143677,1428 Steiner Street,2022/05/10,CFC,1
201802020209,30 Valley Street,2022/05/12,CFC,1
202006098280,233A Shield Street,2022/05/16,CFC,1
201604255591,176-178 Mersey Street,2022/05/16,CFC,2
202006128494,4042 20th Street,2022/05/16,CFC,2
201912311107,1163 South van Ness Avenue,2022/05/19,CFC,3
202104208949,2163A 40th Avenue,2022/05/20,CFC,1
202002053643,3236 Jennings Street,2022/05/20,CFC,1
201706088863,924B Divisadero Street,2022/05/26,CFC,1
202012281784,2101 Bush Street,2022/05/27,CFC,4
201910184941,838A Darien Way,2022/05/27,CFC,1
201407252206,115-117 Plymouth Avenue,2022/05/31,CFC,4
201803133583,1033-1039 Sanchez Street,2022/05/31,CFC,1
201911127017,53 Colton Street,2022/06/22,Initial TCO,96
201408053094,198 Valencia Street,2022/06/23,Initial TCO,29
202005308025,686A Colby Street,2022/06/01,CFC,1
201911197691,1527 Ulloa Street,2022/06/01,CFC,1
202105200712,6273 3rd Street,2022/06/02,CFC,1
202006058191,225 Duboce Avenue,2022/06/02,CFC,3
202012019981,1351A 28th Avenue,2022/06/03,CFC,1
201509217541,1852 Fell street,2022/06/03,CFC,2
201709148190,155 Bartlett Street,2022/06/07,CFC,5
201907176166,1557a Noe Street,2022/06/07,CFC,1
201911086922,1288A 30th Avenue,2022/06/10,CFC,1
201911086921,1288A 30th Avenue,2022/06/10,CFC,1
201603041263,1831 31st Avenue,2022/06/10,CFC,1
202010076122,397A Vienna Street,2022/06/13,CFC,1
201406259383,800 Indiana Street,2022/06/16,CFC,158
202012151026,1615 9th Avenue,2022/06/21,CFC,1
202011128735,123 Ripley Street,2022/06/23,CFC,1
201710060601,1650 California Stret,2022/06/24,CFC,4
201812208919,1650 California Stret,2022/06/24,CFC,2
201908199216,1650 California Street,2022/06/24,CFC,1
201710030209,1865 Filbert Street,2022/06/24,CFC,1
201601066485,2175 Quesda Avenue,2022/06/28,CFC,1
201601137024,2179 Quesada Avenue,2022/06/28,CFC,1
201805159202,654 Castro Street,2022/06/29,CFC,2
202206287331,2160 22nd Street,2022/06/29,CFC,1
202009174392,38 Southwood Drive,2022/06/29,CFC,1
201811196247,750 Judah Street,2022/07/05,CFC,1
201605238133,1420 Jones Street,2022/07/07,CFC,2
202002205010,451 Union Street,2022/07/08,CFC,1
202001293007,840 Greenwich Street,2022/07/08,CFC,3
201901039599,1 Brady Street,2022/07/12,Initial TCO,93
201811196247,750 Judah Street,2022/07/05,CFC,1
202206247110,859 South Van Ness Avenue,2022/07/06,CFC,1
201605238133,1420 Jones Street,2022/07/07,CFC,2
202103116344,818A 24th Avenue,2022/07/08,CFC,1
202001293007,840 Greenwich Street,2022/07/08,CFC,3
202002205010,451 Union Street,2022/07/08,CFC,1
